"id","code","name","user_type_id:id","reconcile","chart_template_id:id","tag_ids","currency_id:id"
"uz_nsbu_454010","454010","Авансовые платежи по взносам от товарооборота в ГДФ","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_454020","454020","Авансовые платежи по взносам в ГДФ за покупку автотранспортных средств","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_455000","455000","Авансовые платежи в государственный фонд школьного образования","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_456010","456010","Авансовые платежи в профсоюзный фонд (взносы граждан)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_456020","456020","Авансовые платежи в профсоюзный фонд (взносы работодателей)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_459000","459000","Авансовые платежи по прочим обязательным платежам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_461000","461000","Расчеты по вкладам в уставный капитал","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Investing & Extraordinary Activities",
"uz_nsbu_471000","471000","Расчеты по товарам, реализованным в кредит","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_472000","472000","Расчеты по предоставленным займам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Financing Activities",
"uz_nsbu_473000","473000","Расчеты по возмещению материального ущерба","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_479000","479000","Расчеты по прочим операциям","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_481000","481000","Расчеты по финансовой (долгосрочной) аренде","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Financing Activities",
"uz_nsbu_482000","482000","Расчеты по краткосрочной аренде","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_483000","483000","Проценты к получению","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Financing Activities",
"uz_nsbu_484000","484000","Дивиденды к получению","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Investing & Extraordinary Activities",
"uz_nsbu_485000","485000","Получение гонораров и роялти","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_486000","486000","Расчеты по претензиям","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_486500","486500","Расчеты по претензиям (в валюте)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_489010","489010","Выплата пенсий","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_489020","489020","Выплата пособий","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_489030","489030","Задолжности по прочим дебиторам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_489500","489500","Прочие расчеты с различными дебиторами (в валюте)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_491000","491000","Резервы по сомнительным долгам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_501000","501000","Касса организации","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_501500","501500","Денежные документы","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_502000","502000","Касса организации (в валюте)","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,"base.USD"
"uz_nsbu_502500","502500","Денежные документы (в валюте)","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,"base.USD"
"uz_nsbu_505000","505000","Операционная касса","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_511000","511000","Расчетные счета","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_521000","521000","Валютные счета внутри республики","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_522000","522000","Валютные счета зарубежом","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_551000","551000","Аккредитивы","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_551500","551500","Аккредитивы (в валюте)","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,"base.USD"
"uz_nsbu_552000","552000","Чековые книжки","account.data_account_type_liquidity","FALSE","l10n_uz_nsbu_chart_template",,
